iso3,country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DEU,Germany,35104.1308467844,35618.5143698493,35477.5151544301,35270.0227284267,35687.6378708542,36024.0947047021,37459.261328042,38593.0749910508,39009.8477636357,36940.4078672661,38526.7371042695,40722.4849268242,40834.5088218456,40884.8926759028,41602.4661281668,41929.7549110722,42516.9337063103,43543.4807050551,43905.8550061973,44235.2658954682,42372.8726784255
DJI,Djibouti,,,,,,,,,,,,,,2140.13769442336,2253.14082249768,2376.12554719873,2502.85181449431,2596.45134698268,2677.1650334451,2781.94350113484,2773.40661780097
DMA,Dominica,6879.59737273918,6897.65674086518,6676.97271467957,7047.66189595946,7323.8530008275,7381.74728529453,7698.53701483824,8106.18951878325,8682.57378179773,8582.71481435718,8574.27308682238,8553.8384670104,8532.34388117289,8459.6586988024,8576.26367623609,8282.59874702141,8499.52291903149,7985.6341102129,8261.16492553236,8624.51695993537,7302.94454951254
DNK,Denmark,49266.9882757886,49557.1509962227,49624.5965359582,49708.0909084109,50956.3045398814,52015.1841169021,53823.1590295482,54113.9771471341,53572.5346568185,50635.9118061988,51209.4492757775,51667.5313210425,51470.689845427,51970.3909324806,52368.3625969272,53094.0133607574,54300.2039621991,55601.0145717787,56355.0733084714,57114.6227336347,55934.5555945523
DOM,Dominican Republic,4123.10573163115,4158.98430282429,4280.80182397408,4162.66686117661,4212.01044121773,4549.24957008857,4904.71715839398,5204.78500652254,5308.92664966814,5294.64953374426,5666.45633430206,5773.57403459156,5860.29893321013,6075.03399972737,6430.27811051339,6800.95309395474,7177.75376475488,7379.39978067137,7818.70593240469,8117.04639185786,7395.8734262396
DZA,Algeria,3553.32420521991,3610.00605631983,3754.66081538446,3945.89816094007,4066.28204806495,4223.60252133943,4279.61547120827,4339.25055772831,4367.56538017541,4336.10054052949,4456.6102741643,4501.3543013352,4518.43978956464,4543.23444006767,4634.10149179952,4685.05902729002,4768.73140081027,4742.90075532529,4717.0035885361,4672.66408678635,4363.68533767783
EAP,East Asia & Pacific (excluding high income),2132.39099441931,2259.8145439145,2422.47283050058,2618.81249841519,2835.24719161171,3095.23156174672,3410.6740869072,3805.17838200242,4102.12956719619,4397.68279304561,4797.24821906567,5168.48039467882,5511.82607552871,5864.64068313952,6225.65318734608,6589.77076427462,6966.47191689918,7374.82622244547,7806.58513374745,8220.71036562155,8293.69666986026
EAR,Early-demographic dividend,2158.8733767333,2144.69783734623,2143.67588181876,2211.95868741619,2312.5110972536,2409.7524782084,2515.60216032263,2617.61581534939,2666.11094569761,2641.46036980411,2766.88281699468,2859.22240884783,2935.95209151149,3010.1988692938,3087.28170907983,3174.36962020929,3261.99599812662,3365.65570800726,3444.80737958553,3480.18904220698,3290.1946903817
EAS,East Asia & Pacific,5056.47338479158,5177.21850451068,5362.11003612717,5585.29422036513,5869.9841240498,6173.52773117604,6524.30999120138,6959.65968932647,7213.51487084263,7350.03477529475,7855.36234558956,8223.35669138572,8581.48213952296,8962.78821401788,9321.66592840668,9691.70576095155,10071.8615358636,10507.3446728598,10945.0220958063,11328.7206349245,11276.053700591
ECA,Europe & Central Asia (excluding high income),3231.4170375726,3219.6524005977,3410.62468197803,3619.89726149943,3949.57993189741,4268.51101428285,4598.69648089427,4915.72250440104,5034.07810862034,4821.30871859383,5123.22527224197,5504.86405202366,5682.17981048522,6000.41396490137,6136.90314013433,6291.45594655745,6409.4471148702,6736.23791731628,6930.30071694301,7046.99611203784,7016.36291211506
