ISO code,Country,Variable code,Variable name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ARM,Armenia,avh,Average annual hours worked by persons engaged,,,,,,,1988.59,1993.57,1997.85,2187.46,1927.94,1933.27,1918.71,1926.11,1973.05,2012.58,1868.85,1857.71,1862.92,1999.09,1991.75,1861.06,1964.63,1976.38,1976.15
ARM,Armenia,ccon,"Real consumption of households and government, at current PPPs (in mil. 2021US$)",11587.09765625,12171.361328125,12871.458984375,13797.5,14798.5068359375,16092.8984375,17996.705078125,20289.900390625,23706.767578125,25970.646484375,26083.03515625,28716.96875,31406.24609375,35172.87890625,33948.71875,34729.4453125,33434.8828125,34953.94140625,41024.1484375,40616.0625,48316.83203125,44214.63671875,42222.90625,43883.4765625,48708.984375
ARM,Armenia,cn,Capital stock at current PPPs (in mil. 2021US$),56498.68359375,54015.55859375,51636.56640625,50118.265625,49435.359375,49453.15625,50712.34765625,52702.06640625,54707.4375,57012.3515625,57585.625,58516.05859375,59808.4296875,67702.9375,91203.25,88260.9609375,93613.265625,95791.75,99837.7734375,129905.4375,164010.59375,201069.03125,239942.453125,248957.296875,257531.15625
ARM,Armenia,emp,Number of persons engaged (in millions),1.384281873703,1.34677183628082,1.31570649147034,1.14078390598297,1.13934171199799,1.107386469841,1.11868965625763,1.10773491859436,1.11296534538269,1.18964350223541,1.15462946891785,1.1817375421524,1.16956329345703,1.16824638843536,1.16038596630096,1.13173925876617,1.07190537452698,1.00584948062897,1.01252901554108,1.05013859272003,1.07873547077179,1.05201160907745,1.08382344245911,1.13889157772064,1.19669795036316
ARM,Armenia,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",3.08302235603333,3.09864902496338,3.09845232963562,3.09825563430786,3.09805917739868,3.09786248207092,3.09766578674316,3.10037350654602,3.10308337211609,3.10579562187195,3.1085102558136,3.11122751235962,3.12573480606079,3.14553189277649,3.16545414924622,3.18550252914429,3.20567798614502,3.23128962516785,3.12573480606079,3.13544416427612,3.14518332481384,3.15495300292969,3.1577730178833,3.16059851646423,3.16343021392822
AUS,Australia,avh,Average annual hours worked by persons engaged,1723.86,1738.5,1716.04,1697.8,1694.46,1686.14,1685.79,1676.85,1674.13,1677.89,1672.41,1654.81,1660.5,1661.94,1653.12,1655.97,1649.81,1643.82,1641.6,1633.87,1632.29,1601.09,1597.75,1587.71,1611.13
AUS,Australia,ccon,"Real consumption of households and government, at current PPPs (in mil. 2021US$)",583849.3125,598367,615289.4375,637856,659769,674983.125,699962.4375,722566.5625,745187.3125,748084.375,784948.6875,836062.25,882808.625,894743.4375,902599.875,921811.6875,942014.8125,981798.5,1001537.75,1028686,1028259.75,1079860.875,1136464.375,1193635.25,1212575.375
AUS,Australia,cn,Capital stock at current PPPs (in mil. 2021US$),3644105.25,3613278.75,3595864,3592019.25,3764196,3952628,4163487.5,4306629,4444956,4559504,4645361,4744773.5,4874187,5197899.5,6838111,6976320,6631231.5,6798418.5,6561996.5,6776144.5,7240472,7483181.5,7691365.5,7907751.5,8094737
AUS,Australia,emp,Number of persons engaged (in millions),8.95317459106445,9.15580081939697,9.33692646026611,9.45518779754639,9.67939853668213,9.86977863311768,10.1498174667358,10.4159488677979,10.7361841201782,11.0429754257202,11.1730194091797,11.3007745742798,11.5834360122681,11.7063789367676,11.8428659439087,11.8968238830566,12.0478782653809,12.3064651489258,12.4996700286865,12.8947973251343,13.1821699142456,13.200291633606,13.3665046691895,13.7700872421265,13.7563667297363
AUS,Australia,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",3.52566766738892,3.53863549232483,3.52751183509827,3.51642346382141,3.50536966323853,3.49435067176819,3.4833664894104,3.472416639328,3.46150135993958,3.45062017440796,3.43977355957031,3.4289608001709,3.44216704368591,3.45542430877686,3.4687328338623,3.48209238052368,3.49550342559814,3.50896620750427,3.52248072624207,3.53604745864868,3.54966616630554,3.56333756446838,3.5980269908905,3.62050604820251,3.60863065719605
AUT,Austria,avh,Average annual hours worked by persons engaged,1679.23,1680.01,1667.33,1664.79,1656.76,1659.01,1635.95,1620.25,1610.59,1604.13,1560.57,1554.33,1560.07,1537.38,1523.31,1515.29,1494.83,1507.17,1497.42,1501.39,1508.85,1398.75,1439.01,1436.87,1438.45
AUT,Austria,ccon,"Real consumption of households and government, at current PPPs (in mil. 2021US$)",239413.640625,251313.1875,251842.046875,256243.421875,258012.578125,261935.484375,263925.125,274828.90625,278279.25,288667.59375,294947.46875,300964.375,313145.96875,317110.34375,316323.1875,317790.3125,327440.59375,337251.28125,345110.3125,349305.15625,369511.625,357606.03125,384819.125,398141.6875,396979.90625
AUT,Austria,cn,Capital stock at current PPPs (in mil. 2021US$),1362055.125,1358292.125,1314276.25,1275666,1301185.375,1333674.25,1357166.125,1474198,1581906.625,1742589.25,1932890.875,2037605.75,2186019,2321276.5,2509405,2566180,2748437,2798657.25,2891243,3018957.25,3128627.25,3189829,3146882,3212486.75,3247967
AUT,Austria,emp,Number of persons engaged (in millions),3.69898223876953,3.7340624332428,3.76019597053528,3.7565450668335,3.78339385986328,3.80705428123474,3.85279417037964,3.91921520233154,3.99066925048828,4.06640625,4.04547452926636,4.07625865936279,4.13998031616211,4.18322658538818,4.20145893096924,4.24325466156006,4.27408504486084,4.32182931900024,4.3961615562439,4.47437429428101,4.52494764328003,4.45141696929932,4.54677677154541,4.66247940063477,4.69524145126343
AUT,Austria,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",3.10149765014648,3.11702919006348,3.13323092460632,3.14951682090759,3.16588711738586,3.18234300613403,3.19888401031494,3.21551084518433,3.23222470283508,3.24902486801147,3.26591277122498,3.28288817405701,3.29365229606628,3.30445194244385,3.31528687477112,3.32615733146668,3.33706331253052,3.3480052947998,3.35898303985596,3.36999678611755,3.38104629516602,3.39213252067566,3.41118836402893,3.43048191070557,3.45001626014709
